term,coef,std_err,t,p_value,ci_low,ci_high
const,556.101770705482,131.623361463956,4.224947338529764,2.3899665943579198e-05,298.124722712031,814.078818698933
hyped,-19.086059042822363,68.83904763981006,-0.27725629126491247,0.7815833188961431,-154.0081131468871,115.83599506124236
social_proof_yes,-35.386381519653284,65.95698378262793,-0.5365069700014621,0.5916082200964148,-164.65969426249643,93.88693122318988
hyped_x_sp,48.74329764849399,99.56787126410387,0.489548456039623,0.6244534578528902,-146.40614404647016,243.89273934345817
prior_investor_yes,25.511459088348047,50.72417060778977,0.502944824580931,0.6150030649937721,-73.9060884485851,124.92900662528119
age,2.517895646462014,5.124870041422765,0.49130917001028895,0.623207795086355,-7.526665060174901,12.562456353098929
gender_non_binary_or_other,114.25752942635557,121.80016688695055,0.9380736689170901,0.348206552457336,-124.46641098303559,352.98146983574674
gender_woman,-62.62489739021187,53.00890596074015,-1.181403318087598,0.2374425405269459,-166.52044393313315,41.270649152709424
year_in_school_graduate,-121.12931481785101,128.56085287481775,-0.9421943936214939,0.34609312373857404,-373.10395627424646,130.84532663854446
year_in_school_junior,8.849029799456986,71.3335466371185,0.1240514486749546,0.901274539473173,-130.96215249880356,148.66021209771753
year_in_school_other,70.36489560416828,244.991604247604,0.28721349786767825,0.7739488517279336,-409.80982523582566,550.5396164441622
year_in_school_senior,-71.24017474939686,75.95360841515615,-0.9379432555725851,0.3482735722299214,-220.1065117389613,77.62616224016759
year_in_school_sophomore,62.65697981200975,73.01782601123728,0.8581052495642226,0.39083434889066204,-80.45532939942726,205.76928902344676
major_area_humanities,-228.34611834358338,102.59546777050082,-2.225694012667093,0.026034684083725355,-429.4295401508049,-27.262696536361915
major_area_other,85.08860119839915,92.72186839013604,0.9176756538207449,0.35878869738326813,-96.64292142553037,266.8201238223287
major_area_social_sciences,-130.8171387354401,85.20348731422057,-1.5353495832042845,0.12469798079858,-297.8129052285278,36.178627757647604
major_area_stem,3.091526371038455,89.47580777854935,0.034551533512722395,0.9724373490549012,-172.27783436254708,178.46088710462402
