,sum_sq,df,F,PR(>F),partial_eta2
C(headline_type),0.36363636363636404,1.0,0.27377636291285345,0.6014831611813749,0.001589193484306716
C(social_proof),0.8181818181818306,1.0,0.6159968165539289,0.4336184749156341,0.0035685963521015604
C(headline_type):C(social_proof),0.09090909090908839,1.0,0.06844409072821139,0.7939288206990495,0.00039777247414477814
Residual,228.45454545454544,172.0,,,
