Group,n,Mean ($),SD ($),SE of mean ($),Median ($),Min,Max,% at $0,% at $500,% at $1000
Control (neutral/no),43,596.6,279.4,42.6,500,0,1000,2.3%,27.9%,14.0%
Any treatment,129,585.3,312.3,27.5,560,0,1000,5.4%,19.4%,14.7%
